वृद्धिरादैच्,वृद्धिःआदैच्
न द्व्यचः प्राच्यभरतेषु,नद्‍व्यचःप्राच्यभरतेषु
वृद्धाच्छः,वृद्धात्छः
भवतष्ठक्छसौ,भवतःठक्छसौ
काश्यादिभ्यष्ठञ्ञिठौ,काश्यादिभ्यःठञ्ञिठौ
वाहीकग्रामेभ्यश्च,वाहीकग्रामेभ्यःच
विभाषोशीनरेषु,विभाषाउशीनरेषु
ओर्देशे ठञ्,ओःदेशेठञ्
वृद्धात्‌ प्राचाम्,वृद्धात्प्राचाम्
धन्वयोपधाद्वुञ्,धन्वयोपधात्वुञ्
प्रस्थपुरवहान्ताच्च,प्रस्थपुरवहान्तात्च
जनपदतदवध्योश्च,जनपदतदवध्योःच
अवृद्धादपि बहुवचनविषयात्‌,अवृद्धात्अपिबहुवचनविषयात्
धूमादिभ्यश्च,धूमादिभ्यःच
नगरात्‌ कुत्सनप्रावीण्ययोः,नगरात्कुत्सनप्रावीण्ययोः
अरण्यान्मनुष्ये,अरण्यात्मनुष्ये
कोपधादण्,कोपधात्अण्
कच्छादिभ्यश्च,कच्छादिभ्यःच
मनुष्यतत्स्थयोर्वुञ्,मनुष्यतत्स्थयोःवुञ्
अपदातौ साल्वात्‌,अपदातौसाल्वात्
गोयवाग्वोश्च,गोयवाग्वोःच
गर्तोत्तरपदाच्छः,गर्तोत्तरपदात्छः
गहादिभ्यश्च,गहादिभ्यःच
प्राचां कटादेः,प्राचाम्कटादेः
वृद्धादकेकान्तखोपधात्‌,वृद्धात्अकेकान्तखोपधात्
पर्वताच्च,पर्वतात्च
विभाषाऽमनुष्ये,विभाषाअमनुष्ये
कृकणपर्णाद्भारद्वाजे,कृकणपर्णात्भारद्वाजे
युष्मदस्मदोरन्यतरस्यां खञ् च,युष्मदस्मदोःअन्यतरस्याम्खञ्च
तस्मिन् नणि च युष्माकास्माकौ,तस्मिन्अणिचयुष्माकास्माकौ
तवकममकावेकवचने,तवकममकौएकवचने
अर्धाद्यत्‌,अर्धात्यत्
